tweet,label
"हे बसणे खूप कठीण आहे, मला या डूडच्या शपथांवर विश्वास बसत नाही, हे सर्व अधिक असह्य करते",-1
कारण या उपमधले इडियट्स इतर लोकांच्या स्क्रीनवर काय आहे याची खूप काळजी घेतात? हे फक्त मला सांगते की येथे बरेच लोक नार्सिसिस्ट आहेत.,-1
पाणी हा मानवी हक्क नाही. ते मूर्खपणाचे आहे.,-1
पातळ बाजू आणि अंतरेषा खरोखर मला फेकून देत आहेत.,-1
या पॉवरप्लेवर कोणतेही ध्येय नसल्यास निराश न होणे कठीण होईल,-1
मला हे स्पष्ट करायचे आहे की मी घाबरत नाही. मी आरशावर ठोसा मारला कारण तो माझ्याकडे चुकीचा दिसत होता.,-1
आपण डोअरमॅट्स आहोत म्हणून फक्त उघडपणे आपल्यावर अत्याचार करणे चांगले,-1
"आजपर्यंत, मी त्यात नाम नाव असलेले काहीही वाचून घाबरून जातो",-1
तसेच नाही,-1
हे श्रीमंत सिनेटर्स वास्तवाशी पूर्णपणे संपर्कात नसतात. खा. द. श्रीमंत.,-1
"पहा नाम, तुमच्या चेहऱ्यावरचे ते कुरळे मला इतके गरम करतात की मी सरळ विचार करू शकत नाही.",-1
त्या मिशीला वास आल्यासारखा वाटतो.,-1
त्याला कधीही यश मिळाले नाही,-1
", ती अजिबात प्रभावी झाली नाही",-1
पंथात असण्याबद्दल सर्वात भयानक गोष्टींपैकी एक म्हणजे आपण एका पंथात आहात हे आपल्याला समजत नाही.,-1
दिवस कठीण आहे... दिवस सारखा कठीण नाही पण कठीण आहे,-1
नाही हे नाही. त्याचा सर्वात मोठा गुन्हा अंतर्मुख होणे हा होता. कमी-निषेध मनोवैज्ञानिकांना महिलांच्या सहवासाची कधीच कमतरता भासत नाही.,-1
मी लोकांना त्यांच्या टिप्पण्यांमध्ये मांस किंवा प्राण्यांच्या उत्पादनांचा उल्लेख केल्याबद्दल डाउनव्होट करण्यास सुरुवात केली आहे.,-1
"हा मागचा शेवट असू शकत नाही, कचरा टीव्ही! मला तुझी आठवण येईल!",-1
सीफूड वाईट आहे. मी माझ्या स्वयंपाकघरात सीफूड तयार करण्यास नकार देतो.,-1
यात गैर काय आहे,-1
दुर्बलांनी बलवानांची भीती बाळगली पाहिजे,-1
अरे आधीच बंद.,-1
काळाच्या इतिहासात कोणीही वाईट पहिल्या तारखेपासून काय सावरले नाही? या किस्सा पुराव्यावर हार्ड पास.,-1
मला शंका होती की ते खूप मोठे आहे पण धिक्कार आहे..,-1
तर काय झाले तिने तुझ्यावर बलात्कार करण्याचा प्रयत्न केला,-1
होय!!!! मला कधीच समजणार नाही की काही पोस्ट अशी तक्रार का करतात की ते दुसर्‍या व्यक्तीच्या मेहनतीने $$ कमवू शकत नाहीत.,-1
"खरं तर तिच्याबद्दल वाईट वाटतं. तिला नैराश्य आणि कमी आत्मसन्मान आहे, यामुळे ते अधिक चांगले होणार नाही.",-1
"ते वाईट आहे. मला क्षमस्व आहे की तुम्हाला तो अनुभव आला, पण हो, मिशन पूर्ण झाले.",-1
नाही. पुरस्कारांची अजिबात गरज नाही.,-1
मी ते पाहिले नाही आणि त्याचे कौतुक केले!,-1
"मला आश्चर्य वाटते की हे जिवंत का बाहेर पडले. बरं, अगदी वाजवी स्पष्टीकरण होतं.",-1
"नाही हा आम्ही प्रचार करतो कारण /राजकारण केवळ माहिती सादर करते, सत्य किंवा (सहसा) किंवा अन्यथा पुराणमतवादींना दुखावण्यासाठी आणि उदारमतवाद्यांना मदत करण्यासाठी डिझाइन केलेली माहिती. प्रचार",-1
"बरं, मी अत्यंत आकर्षक आहे आणि नुकतीच झोपलेली आहे, म्हणून नाही...",-1
ही व्यक्ती जगासमोर आली पाहिजे. किती बेपर्वा पोझ आहे,-1
ते भितीदायक आहे,-1
तुम्ही दीमक आणि नाम मारेकरी आहात असे मानणार्‍या लोकांसोबत कूच करू इच्छित नाही हे स्वार्थी आहे?,-1
"फक यू, टिंकन. *वाचणारे वापरकर्तानाव* प्रतीक्षा करा दुर्लक्ष करा टिन कॅन भाग, संभोग *विशेषतः आपण* सर्वसाधारणपणे.",-1
"मला शिकायला आवडते, पण मला विचारले जाऊ शकत नाही..",-1
मला त्या चोरट्या वकिलाचा तिरस्कार वाटत होता.,-1
कृपया मला मारून टाका.,-1
एके दिवशी ते माझ्या रजेच्या नमुन्यांचे डेटा-विश्लेषण करतील आणि पाहतील की माझी जवळजवळ सर्व वैयक्तिक/आजारी रजा वर्षाच्या उत्तरार्धात होते.,-1
प्रत्येकजण नास्तिक जन्माला येतो. काहींना सहसा त्यांच्या पालकांद्वारे धर्माचा त्रास होतो.,-1
हा व्यंग आहे की नाही हे मला माहीत नाही...,-1
"म्हणजे कोणाला काळजी आहे, हा शो परिपूर्णतेसाठी तयार केलेला नाही. हे कॉमेडीसाठी तयार केले आहे.",-1
"होय, मी ते नक्कीच पाहू शकलो, जे दुःखी आहे.",-1
होय मी माझे डाउनव्होट घेईन. फक्त एक आंत भावना,-1
ब्रेक्झिट हाही पर्याय नाही.,-1
मला वाईट वाटते की अशा प्रकारचे लोक मला आजारी करतात,-1
या डीलरशिपच्या पुढे जाताना मी माझी अदृश्य टोपी टिपतो. किती दुर्दैवी आडनाव.,-1
जेव्हा फक्त श्रीमंत लोक निवडून आले आणि कायदे केले...,-1
"होय, स्पष्टपणे / जाणीवपूर्वक चुकीच्या माहितीची पुनरावृत्ती करत होते.",-1
आणि ते विश्वासार्ह का वाटत नाहीत याचे त्यांना आश्चर्य वाटते. कदाचित कोणीतरी याबद्दल ट्विट केले पाहिजे आणि त्यांच्या लक्षात येईल.,-1
तो एक ओंगळ ड्यूस घेत आहे असे दिसते.,-1
"अहो, प्रणयासाठी आधुनिक समाजाचा रोमान्सचा ध्यास… मला त्याचा तिरस्कार आहे.",-1
मला आज रात्री हृदयविकाराचा झटका येणार आहे,-1
हे पाहून खरोखर वाईट वाटते,-1
"हे मूर्खपणाचे आहे, जर ते मेगा बजेट चित्रपटांमध्ये ""मानक"" असेल, तर लुकासफिल्मने तयार न होण्याचे निमित्त काय आहे?",-1
"तुम्ही पुढच्या वर्षी १६ वर्षांचे व्हाल असे सांगितले होते, हा उन्हाळा पुढच्या वर्षी नाही",-1
चुकीचे. आणि तुम्ही एक व्यापक सामाजिक सुरक्षा जाळे देखील समाविष्ट करत नाही तोपर्यंत ला त्रास होतो,-1
.... त्याने मुळात कबूल केले की त्याला ख्रिसमससाठी त्याच्या लहान मुलाला काही मिळाले नाही. काय एक गधा!,-1
ओव्हरहेड पंखे पूर्णपणे विचित्र आहेत. ते अक्षरशः आजूबाजूला धूळ उडवण्याशिवाय काहीही करत नाहीत.,-1
हे अनभिज्ञ असल्यास क्षमस्व पण ते विग आहे का?,-1
हा उप विडंबनात अतिशय वाईट आहे,-1
मला माहित आहे की एकदा मी सामग्री मिसळली आणि इटालिक करण्यासाठी तारकाऐवजी स्लॅश पोस्ट केले. अरेरे.,-1
या प्रकारचे पॅकेज कदाचित आम्हाला परायकोही मिळणार नाही,-1
चौरस. या चित्रपटातील ढोबळ दांभिक विशेषाधिकाराने मला पुक करावेसे वाटले.,-1
"माझ्या मते, पिशव्या तितक्या मोठ्या ठेवण्याकडे पुरुषांचा कल नसतो",-1
मी ऐकत राहतो की नाम एक भयानक भाडे आहे.,-1
अरेरे. मी चुकीचे गृहीत धरले की तीच व्यक्ती होती.,-1
तू इथे रडायला आलास,-1
खरंच नाही. मुलांबद्दल प्रत्येकाचे वेगवेगळे विचार असतात आणि मला ते तुष्टीकरण म्हणून दिसत नाही.,-1
"मी ते करेन, परंतु मी त्या सर्वांना तासांच्या करारावर आणि किमान वेतनापेक्षा कमी ठेवतो आणि मला ते द्यायचे नाही.",-1
"हे आता काही वर्षांपूर्वी होते, मला भीती वाटते की माझ्याकडे ते नाही किंवा माझ्याकडे असेल.",-1
"अहो पुन्हा तू. मित्रा, तुम्ही कृपया """" म्हणू शकता जेणेकरून मी कार्य पूर्ण करू शकेन? माझी शेवटची विनंती दुःखाने अनुत्तरित झाली.",-1
मला बेटिंग अंडरचा तिरस्कार आहे.,-1
"मूलतः जगतो, तो वेडा आहे",-1
बडी. तुमचा पूर्वग्रह दिसून येत आहे. तसेच प्लॉट ट्विस्ट मी एक गोरी नाम स्त्री आहे. व्हाईट प्रिव्हिलेज म्हणजे काय हे तत्व तुम्हाला समजत नाही.,-1
इंग्लंडमध्ये त्याला फुलस्टॉप म्हणतात. या मध्ये माझे संभोग विसर्जित झाले आहे.,-1
विक्री आणि वाढ झाली नसती तर हे इतके वाईट वाटणार नाही परंतु अनेक बाह्य दबावांमुळे नफा कमी होत आहे.,-1
सामाजिक बदलाचा माझ्यावर नकारात्मक परिणाम झाला त्या बिंदूपासून समाज उतारावर जाऊ लागला.,-1
"लोक सतत ""इनसेल"" सारखे शब्द वापरतात ही वस्तुस्थिती लोकांना हिणवण्यासाठी समाज पूर्वीपेक्षा वाईट होत आहे हे सिद्ध करते.",-1
तिथेच तुझ्याबरोबर. वर्षे एकत्र आणि अचानक ते संपले. मी रडून आणि दुखवून थकलो आहे. आम्ही यातून मार्ग काढू.,-1
मी उत्तरेकडे तासांत ते पाहिले आहेत. हवामान हे वेड्यासारखे आहे.,-1
हे त्याला नाही तर तुमच्यासाठी एक समस्या आहे असे दिसते,-1
"बुशविक, आणि ड्रम वाजवण्याचा अर्थ असा नाही की कोणीतरी नोकरी करू शकत नाही.",-1
"व्वा, व्हिडिओ माझ्या विचारापेक्षा खूपच वाईट आहे. त्याने वय विचारल्यानंतर त्याची कृती खूपच अस्वस्थ आहे.",-1
"जर्सी व्यतिरिक्त, ऑप्टिक मर्च हे विचारानंतरचे आहे. ते आणखी वाढवतील अशी इच्छा आहे.",-1
बरेच लोक पगाराशिवाय जात आहेत आणि भाड्याने किंवा किराणा सामान खरेदी करण्यास असमर्थ आहेत हे छान नाही. एक उत्पादित संकट येथे आले आहे की एक धोक्याची आहे,-1
खेदजनक आणि अगदी खरे असले तरी. बिंदू मध्ये केस.,-1
"याचा अर्थ असा आहे की मोहिमेशी संगनमत झाले, त्यांनी अन्यथा म्हटले याच्या उलट. आपण रशियन स्वारस्य प्रगत करण्यासाठी मत दिले असल्यास क्षमस्व.",-1
मला असे सांगितले जात नाही की मला अशा व्यक्तीकडून समस्या आहेत ज्याला कॉप्रोफॅगियामध्ये खरोखर आणि खरोखर स्वारस्य आहे.,-1
असे दिसते की तुम्ही माझे स्वतःचे गेम क्लिप केले आहेत. ते अलीकडे वाईट आहे.,-1
मी हे एका मित्राला पाठवण्याचा प्रयत्न केला पण ने ते काढून टाकले.,-1
तुमच्या मुलीवर बलात्कार करणाऱ्या माणसाचे आयुष्य इथेच संपवायचे आहे. गर्भपात हे फक्त औषध आहे,-1
पुढे तुम्ही मला सांगाल की त्यांनी लोखंडाचा शोध लावला नाही! संभोग?,-1
तुम्ही चुकीच्या सदस्यांमध्ये आहात,-1
नाही. हे सर्व लवकरात लवकर खर्च करा. पुरावे खर्च करा जेणेकरुन तुम्ही त्वरीत आणि सुरक्षितपणे सुटका करू शकाल आणि तरीही ते विकत घेण्यास सक्षम असाल!,-1
"एरर्रर्रर्र हे निरर्थक आहे, आणि तुमचा डॉक्टर मला भीती वाटतो तोही निरर्थक आहे.",-1
काका नाम किती राजकीय वेश्या आहेत!,-1
ते कदाचित त्याचा त्रास देणार्‍याने नाम खेचण्याची वाट पाहत आहेत. घाणेरडे पुरुष.,-1
"जरी हा एक काल्पनिक प्रश्न असला तरीही कडून येत आहे, तरीही भीती वाटली पाहिजे",-1
आणि तिथे मी गरीब काळ्या पोरांना दोष देत होतो,-1
किमान ते वाईट नव्हते.,-1
तेव्हा तुम्हाला त्याचा आजार नीट कळला नाही असे वाटते,-1
हे विचित्र आहे. आपण काळजी करणे योग्य असू शकते.,-1
"अहो, नाम आणि त्याची यादृच्छिक बकवास पुन्हा...",-1
हा काय निरुपयोगी त्रासदायक बॉट आहे? बीप बूप ऑफ टू हेल बॉट,-1
कमी नक्कीच जास्त आहे. ते चित्र फक्त विस्मरणीय जुने मेम साहित्य आहे. हे पोस्ट जुने कीवर्ड भरल्यासारखे वाटते.,-1
"किती आक्षेपार्ह. मी, बदक नाही!",-1
"अरेरे, अरेरे. मी अजूनही सहमत नाही पण मला माझी चूक दिसते",-1
दगडात काहीही ठेवलेले नाही. तुझे गांड बंद आशा!,-1
"मॉर्टन हॉकी संघ तेथे प्रशिक्षण घेतो, जर फुटबॉल खाली गेला तर कदाचित आम्हाला यश मिळेल",-1
मिश्र जातीसह जन्मजात दोषांसाठी चाचणी करण्याची खरोखर गरज नाही.,-1
प्रमाणे मला चोदतील का?,-1
मी गोष्टींमध्ये इतका विचार करतो की अनेकदा मी स्वतःला नकळत ट्रिगर करतो. काहीतरी घडण्याची संधी मिळण्यापूर्वी मला दुखापत होऊ शकते.,-1
